Sample ID,Genotype,Infection_Status,Location,Live.count,CD45.count,Tcells,CD4.Tcells,CD4.effector.memory.Tcells,CD4.central.memory.Tcells,CD4.naive.Tcells,CD4.double.negative.Tcells,CD8.Tcells,CD8.effector.memory.Tcells,CD8.central.memory.Tcells,CD8.naive.Tcells,CD8.double.negative.Tcells,B220.cells,Percent.CD45,Percent.Tcells,Percent.CD4.Tcells,Percent.CD8.Tcells,Percent.B220,Percent.CD4.effector.memory,Percent.CD4.central.memory,Percent.CD4.naive,Percent.CD4.double.negative,Percent.CD8.effector.memory,Percent.CD8.central.memory,Percent.CD8.naive,Percent.CD8.double.negative
475,129,N,SF,251171,244651,37054,27990,3905,2432,20389,1264,8103,195,790,6985,133,7637,97.4,15.1,11.4,3.31,3.12,14,8.69,8.69,4.52,2.41,9.75,86.2,1.64
436,129,N,SF,122218,106814,23959,18389,2040,1910,13999,440,5203,189,404,4534,76,6032,87.4,22.4,17.2,4.87,5.65,11.1,10.4,10.4,2.39,3.63,7.76,87.1,1.46
126,B6,N,SF,295493,282471,15313,9361,4293,474,3773,821,3532,303,776,2180,273,14449,95.6,5.42,3.31,1.25,5.12,45.9,5.06,5.06,8.77,8.58,22,61.7,7.73
144,B6,N,SF,247910,242850,23021,13037,1826,834,8772,1605,9029,381,2095,6273,280,86345,98,9.48,5.37,3.72,35.6,14,6.4,6.4,12.3,4.22,23.2,69.5,3.1
195,B6,N,SF,273925,175123,30315,18625,4736,4038,9242,609,10386,1109,4126,5043,108,62808,63.9,17.3,10.6,5.93,35.9,25.4,21.7,21.7,3.27,10.7,39.7,48.6,1.04
358,B6,N,SF,211847,147991,34815,22243,11198,2138,8550,357,7106,533,2525,4000,48,38781,69.9,23.5,15,4.8,26.2,50.3,9.61,9.61,1.6,7.5,35.5,56.3,0.675
402,B6,N,SF,121781,119042,20891,12308,783,665,10095,765,8275,380,1565,6080,250,39641,97.8,17.5,10.3,6.95,33.3,6.36,5.4,5.4,6.22,4.59,18.9,73.5,3.02
412,B6,N,SF,74411,70597,10567,5912,658,558,4319,377,4390,217,837,3188,148,28471,94.9,15,8.37,6.22,40.3,11.1,9.44,9.44,6.38,4.94,19.1,72.6,3.37
415,B6,N,SF,113606,108857,16779,10074,1701,1162,6865,346,6116,414,1094,4466,142,38047,95.8,15.4,9.25,5.62,35,16.9,11.5,11.5,3.43,6.77,17.9,73,2.32
421,B6,N,SF,238012,228859,14544,7881,726,452,5504,1199,5943,446,1618,3406,473,36741,96.2,6.36,3.44,2.6,16.1,9.21,5.74,5.74,15.2,7.5,27.2,57.3,7.96
450,PWK,N,SF,96062,94058,16171,12634,996,1304,9920,414,3238,243,1622,1329,44,19201,97.9,17.2,13.4,3.44,20.4,7.88,10.3,10.3,3.28,7.5,50.1,41,1.36
459,PWK,N,SF,61327,59759,6898,4774,528,184,1911,2151,1920,315,812,587,206,10530,97.4,11.5,7.99,3.21,17.6,11.1,3.85,3.85,45.1,16.4,42.3,30.6,10.7
465,PWK,N,SF,225270,218320,41500,29733,1902,2301,24464,1066,10674,888,5759,3938,89,45957,96.9,19,13.6,4.89,21.1,6.4,7.74,7.74,3.59,8.32,54,36.9,0.834
426,129,Tm,Lab,173226,170341,104246,86033,7392,5424,71428,1789,17219,453,1001,15672,93,13911,98.3,61.2,50.5,10.1,8.17,8.59,6.3,6.3,2.08,2.63,5.81,91,0.54
471,PWK,N,SF,151382,147958,18354,12417,1238,732,8192,2255,5585,466,2837,2094,188,47028,97.7,12.4,8.39,3.77,31.8,9.97,5.9,5.9,18.2,8.34,50.8,37.5,3.37
433,129,Tm,Lab,304642,291459,196195,153112,11537,12623,126121,2831,41533,638,5118,35547,230,35632,95.7,67.3,52.5,14.3,12.2,7.54,8.24,8.24,1.85,1.54,12.3,85.6,0.554
