Mouse,Location,Infected,Strain,Block,X..T.cells.of.CD45.,X..CD4..of.CD45.,X..CD4..Q1.CD62L....CD44..eff.mem.of.CD45.,X..CD4..Q2.CD62L....CD44..cent.mem.of.CD45.,X..CD4..Q3.CD62L....CD44..naive.of.CD45.,X..CD4..Q4.CD62L....CD44..of.CD45.,X..Ki.67..activated.CD4.of.CD45.,X..KLRG1..CD4..of.CD45.,X..FoxP3..CD4..of.CD45.,X..Gata3..CD4..of.CD45.,X..Tbet..CD4..of.CD45.,X..RorgT..CD4..of.CD45.,X..CD8..of.CD45.,X..Q1.CD62L...CD44..eff.mem.of.CD45.,X..CD8..Q2.CD62L....CD44..cent.mem.of.CD45.,X..CD8..Q3.CD62L....CD44..naive.of.CD45.,X..CD8..Q4.CD62L....CD44..of.CD45.,X..Ki.67..CD8..of.CD45.,X..KLRG1..CD8..of.CD45.,X..B220..cells.of.CD45.,X..CD44..B.cells.of.CD45.,X..CD62L..Bcells.of.CD45.,X..CD62hiCD44..B.cells.of.CD45.,X..CD62hiCD44..B.cells.of.CD45..1,X..gd.T.cells.of.CD45.,X..NK.cells.of.CD45.,X..lin..of.CD45.,X..Ki67..ILCs.of.CD45.
300,SF,Infected,B6,Block2,47,27.3,4.18,1.87,19.8,1.44,3.85,0.292,3.68,0.828,1.12,0.518,18.7,0.524,2.53,15,0.587,2.06,0.0463,47.5,3.6,42.4,2.33,40.2,1.22,0.33,3.61,1.37
302,SF,Infected,PWK,Block2,62.1,40.8,5.16,19.8,14.7,1.09,5.21,0.794,4.13,0.961,1.39,0.283,20.6,1.05,14.1,5.23,0.187,3.25,0.0918,31.7,1.96,20,0.818,19.2,0.835,0,4.45,1.83
305,SF,Infected,PWK,Block2,58.1,34.9,5.82,21.1,7.22,0.752,4.93,0.625,4.19,0.74,1.45,0.342,22.6,1.51,17.5,3.46,0.145,3.71,0.144,37.9,3.55,29.9,1.75,28.2,1.23,0.000700305,2.29,0.534
309,SF,Infected,PWK,Block2,63.3,40.7,6.39,24.2,9.41,0.631,3.99,0.987,4.54,1.45,0.564,0.46,22.2,0.733,18.4,2.95,0.0933,2.25,0.0578,32.6,3.36,18.4,0.944,17.5,1.01,0.000657384,2.36,0.985
310,SF,Infected,PWK,Block2,57.2,37.3,9.41,17.1,9.86,0.848,5.09,1.3,5.83,1.83,0.501,0.771,19.2,1.65,14.6,2.82,0.0875,2.88,0.524,36.4,3.51,18.9,0.821,18.1,1.42,0.00104,4.1,1.67
314,SF,Infected,PWK,Block2,49.9,30,6.46,13.7,9.32,0.564,4.07,0.641,4.19,1.21,1.22,0.246,19.4,0.949,14.7,3.69,0.0871,1.93,0.052,46.1,3.69,28.7,1.27,27.4,0.766,0.000946262,2.59,0.56
316,SF,Infected,PWK,Block2,53.2,29.8,7.77,12.7,8.44,0.897,6.09,0.741,3.74,1.08,2.14,0.462,22.6,1.87,16.4,4.23,0.163,4.54,0.156,40.4,6.2,21.9,1.39,20.6,0.891,0,4.77,2.57
317,SF,Infected,PWK,Block2,56.8,36.5,6.07,17.9,12.1,0.475,4.67,0.792,3.78,0.865,1.92,0.202,19.7,0.974,14.9,3.75,0.0716,2.9,0.185,38.9,4.2,28.6,1.4,27.2,0.995,0.00105,2.74,1.19
318,SF,Infected,PWK,Block2,52.7,33.3,5.41,17.6,9.84,0.444,4.5,0.811,3.3,1.18,1.98,0.364,18.8,0.711,13.7,4.24,0.083,2.1,0.0811,43.3,3.24,31.6,1.23,30.4,0.901,0,2.52,0.969
324,SF,Infected,PWK,Block2,52.4,32.3,6.61,17.4,7.43,0.841,4.4,0.769,3.79,0.9,1.02,0.374,19.4,1.57,14.7,3.05,0.141,3.44,0.077,42.7,3.73,25.2,1.01,24.3,0.821,0.00361,3.35,1.6
360,SF,Infected,PWK,Block2,57,36.2,6.7,17.2,11.3,0.973,5.06,0.619,3.49,0.799,1.98,0.323,20,1.66,14,4.2,0.2,3.84,0.138,38.8,3.26,26.9,1.25,25.7,0.84,0,2.43,0.969
104,SF,Uninfected,129SL,Block2,61,43.9,4.17,2.25,34.1,3.33,5.05,0.445,5.83,2.76,0.243,0.504,16.8,0.224,0.445,15.8,0.404,0.945,0.0257,33.6,1.7,26.7,0.834,25.9,1.98,0.00249,2.62,0.829
111,SF,Uninfected,129SL,Block2,67,48.9,4.57,2.18,39.3,2.89,2.86,0.548,5.67,1.31,0.222,0.406,17.9,0.152,0.425,17,0.386,0.631,0.0179,30.4,2.16,26.6,0.967,25.7,0.831,0.00489,1.13,0.23
114,SF,Uninfected,129SL,Block2,65.5,47.9,4.6,2.32,38.5,2.44,2.82,0.529,5.77,1.65,0.197,0.538,17.4,0.143,0.477,16.5,0.265,0.687,0.0188,31.8,2.74,27,1.3,25.8,0.861,0.00179,1.22,0.243
123,SF,Uninfected,129SL,Block2,68,50.7,4.5,1.66,41.2,3.31,2.24,0.344,6.13,1.12,0.3,0.32,17.2,0.167,0.312,16,0.643,0.588,0.0222,29.4,2.14,25.8,1.05,24.9,0.881,0.00101,1.11,0.237
