Wedge,Timestamp,RFID,Mouse
70,8/19/21 3:19,48 48 48 49 51 48 51 49 55,273
70,8/19/21 3:19,48 48 48 49 51 48 51 57 50,298
70,8/19/21 3:19,48 48 48 49 51 48 50 53 50,283
70,8/19/21 3:18,48 48 48 49 51 48 50 51 55,287
71,8/19/21 3:17,48 48 48 48 55 50 56 56 48,311
70,8/19/21 3:17,48 48 48 49 51 48 50 51 55,287
70,8/19/21 3:17,48 48 48 49 51 48 50 54 49,297
30,8/19/21 3:17,48 48 48 48 55 50 56 57 55,103
70,8/19/21 3:17,48 48 48 49 51 48 50 57 48,274
70,8/19/21 3:16,48 48 48 49 51 48 51 57 50,298
70,8/19/21 3:16,48 48 48 49 51 48 50 53 54,277
70,8/19/21 3:15,48 48 48 49 51 48 50 54 49,297
71,8/19/21 3:14,48 48 48 48 55 50 56 56 48,311
70,8/19/21 3:14,48 48 48 49 51 48 50 57 48,274
70,8/19/21 3:11,48 48 48 49 51 48 51 51 57,292
70,8/19/21 3:08,48 48 48 49 51 48 50 53 54,277
30,8/19/21 3:07,48 48 48 49 51 48 51 55 50,117
70,8/19/21 3:07,48 48 48 49 51 48 50 53 54,277
70,8/19/21 3:07,48 48 48 49 51 48 51 54 54,294
70,8/19/21 3:07,48 48 48 49 51 48 50 53 54,277
70,8/19/21 3:06,48 48 48 49 51 48 51 52 49,280
70,8/19/21 3:03,48 48 48 49 51 48 50 53 50,283
70,8/19/21 3:01,48 48 48 49 51 48 50 51 55,287
70,8/19/21 3:01,48 48 48 49 51 48 50 51 55,287
70,8/19/21 2:59,48 48 48 49 51 48 50 53 54,277
70,8/19/21 2:59,48 48 48 49 51 48 51 54 54,294
30,8/19/21 2:53,48 48 48 49 51 48 51 55 50,117
70,8/19/21 2:52,48 48 48 49 51 48 51 57 50,298
70,8/19/21 2:51,48 48 48 49 51 48 51 49 55,273
70,8/19/21 2:51,48 48 48 49 51 48 50 53 54,277
70,8/19/21 2:49,48 48 48 49 51 48 50 53 51,284
70,8/19/21 2:49,48 48 48 49 51 48 51 50 56,289
70,8/19/21 2:48,48 48 48 49 51 48 50 53 51,284
70,8/19/21 2:48,48 48 48 49 51 48 50 53 51,284
70,8/19/21 2:47,48 48 48 49 51 48 51 51 57,292
70,8/19/21 2:47,48 48 48 49 51 48 51 57 50,298
70,8/19/21 2:45,48 48 48 49 51 48 50 50 57,300
30,8/19/21 2:43,48 48 48 49 51 48 51 55 50,117
30,8/19/21 2:43,48 48 48 49 51 48 51 55 50,117
70,8/19/21 2:42,48 48 48 49 51 48 51 50 56,289
70,8/19/21 2:42,48 48 48 49 51 48 51 50 56,289
12,8/19/21 2:41,48 48 48 49 51 48 50 53 54,277
12,8/19/21 2:40,48 48 48 49 51 48 50 53 54,277
70,8/19/21 2:40,48 48 48 49 51 48 50 57 48,274
70,8/19/21 2:39,48 48 48 49 51 48 51 51 57,292
70,8/19/21 2:39,48 48 48 49 51 48 51 51 57,292
